song_name;name_artists;popularity;explicit;song_type;num_artists;num_available_markets;release_date;duration_ms;key;mode;time_signature;acousticness;danceability;energy;instrumentalness;liveness;loudness;speechiness;valence;tempo
In My Feelings;['Drake'];82;True;Solo;1;79;2018-06-29;217925;1;1;4;0.0589;0.835;0.626;6e-05;0.396;-5.833;0.125;0.35;91.03
Lose It;['Kane Brown'];71;False;Solo;1;79;2019-07-12;178987;4;0;4;0.00245;0.544;0.854;1.2e-06;0.249;-4.968;0.0289;0.436;91.966
Tequila;['Dan + Shay'];74;False;Solo;1;78;2018-06-22;196747;11;1;4;0.0312;0.489;0.581;0.0;0.132;-5.731;0.0281;0.494;86.016
Nonstop;['Drake'];82;True;Solo;1;79;2018-06-29;238614;7;1;4;0.0164;0.912;0.412;0.013;0.104;-8.074;0.124;0.422;154.983
Boo'd Up;['Ella Mai'];74;False;Solo;1;79;2017-02-22;256064;10;0;4;0.0862;0.561;0.779;0.0;0.078;-5.107;0.0531;0.235;81.965
Topanga;['Trippie Redd'];76;True;Solo;1;79;2018-11-09;215364;4;1;4;0.00587;0.755;0.615;1.75e-06;0.109;-8.245;0.0454;0.039;105.955
come out and play;['Billie Eilish'];75;False;Solo;1;79;2018-11-20;210376;0;1;4;0.693;0.64;0.321;0.0307;0.114;-14.604;0.0931;0.177;145.045
I'm a Mess;['Bebe Rexha'];80;False;Solo;1;78;2018-06-22;195519;11;0;4;0.00281;0.63;0.694;0.0;0.0719;-6.257;0.0253;0.216;97.005
Hangin' On;['Chris Young'];66;False;Solo;1;79;2017-10-20;185440;8;1;4;0.0651;0.434;0.831;0.0;0.119;-4.774;0.0453;0.596;156.034
Rich;['Maren Morris'];61;False;Solo;1;79;2017-03-17;208893;5;1;4;0.0445;0.565;0.855;0.0;0.32;-4.189;0.0557;0.852;74.98
Blue Tacoma;['Russell Dickerson'];72;False;Solo;1;79;2017-10-13;212067;9;1;4;0.0183;0.455;0.897;0.0;0.174;-4.879;0.0403;0.728;160.139
ocean eyes;['Billie Eilish'];82;False;Solo;1;79;2017-12-22;200379;4;0;4;0.816;0.511;0.363;0.0317;0.084;-7.65;0.041;0.169;144.892
Noticed;['Lil Mosey'];81;True;Solo;1;79;2018-10-19;165000;11;1;4;0.462;0.699;0.558;0.0;0.116;-7.622;0.0603;0.493;79.992
I Like Me Better;['Lauv'];82;False;Solo;1;78;2017-05-19;197437;9;1;4;0.535;0.752;0.505;2.55e-06;0.104;-7.621;0.253;0.419;91.97
SAD!;['XXXTENTACION'];85;True;Solo;1;79;2018-03-16;166606;8;1;4;0.258;0.74;0.613;0.00372;0.123;-4.88;0.145;0.473;75.023
Bohemian Rhapsody;['Queen'];72;False;Solo;1;77;2018-10-19;354947;0;0;4;0.287;0.39;0.397;0.0;0.207;-9.963;0.0513;0.246;144.031
Take One;['Kodak Black'];59;True;Solo;1;78;2018-12-14;165517;1;1;4;0.114;0.66;0.615;0.0;0.315;-7.2;0.47;0.501;174.034
Desperate Man;['Eric Church'];57;False;Solo;1;79;2018-07-13;208733;10;1;4;0.0716;0.711;0.796;0.0045;0.262;-5.87;0.0341;0.901;109.991
Burn the House Down;['AJR'];64;True;Solo;1;74;2018-09-21;212689;0;1;4;0.0364;0.454;0.66;0.0;0.181;-4.357;0.168;0.568;184.353
Love Scars 3;['Trippie Redd'];70;True;Solo;1;79;2018-11-09;129429;8;1;4;0.136;0.544;0.524;0.0;0.106;-7.914;0.0621;0.117;81.982
Bad Liar;['Imagine Dragons'];82;False;Solo;1;79;2018-11-09;260773;3;1;4;0.0722;0.383;0.637;0.0;0.368;-6.993;0.0703;0.0827;177.913
Always Remember Us This Way;['Lady Gaga'];80;False;Solo;1;79;2018-10-05;210200;0;1;4;0.299;0.553;0.502;0.0;0.764;-5.972;0.0409;0.296;129.976
Toxic Waste;['Trippie Redd'];63;True;Solo;1;79;2018-11-09;173129;8;1;4;0.0555;0.728;0.517;1.95e-06;0.107;-11.404;0.0629;0.379;111.974
Drew Barrymore;['Bryce Vine'];73;True;Solo;1;78;2017-12-01;190472;11;0;4;0.493;0.763;0.572;0.00118;0.106;-7.312;0.0595;0.25;151.93
Back To You;['Selena Gomez'];74;False;Solo;1;79;2018-05-18;210240;6;1;4;0.0984;0.6;0.683;1.26e-06;0.11;-6.271;0.0493;0.494;102.036
Delicate;['Taylor Swift'];75;False;Solo;1;79;2017-11-10;232253;9;0;4;0.216;0.75;0.404;0.000357;0.0911;-10.178;0.0682;0.0499;95.045
Last Memory;['Takeoff'];62;True;Solo;1;79;2018-11-02;162133;1;0;4;0.175;0.854;0.708;0.0;0.241;-5.805;0.244;0.172;118.032
Hotel Key;['Old Dominion'];68;False;Solo;1;79;2017-08-25;166573;11;1;4;0.152;0.758;0.867;0.0;0.308;-5.087;0.0475;0.964;102.018
Killshot;['Eminem'];76;True;Solo;1;79;2018-09-19;253580;0;0;4;0.0989;0.892;0.651;0.0;0.371;-8.645;0.378;0.599;105.814
Casper;['Takeoff'];72;True;Solo;1;79;2018-11-02;197079;1;1;4;0.525;0.921;0.607;1.12e-06;0.123;-7.397;0.209;0.753;140.071
Thriller;['Michael Jackson'];67;False;Solo;1;79;2017-09-27;358053;11;1;4;0.0816;0.764;0.887;0.000108;0.847;-3.725;0.0738;0.721;118.421
Drunk Girl;['Chris Janson'];66;False;Solo;1;78;2017-09-22;207267;0;1;4;0.794;0.485;0.306;0.0;0.122;-8.431;0.0409;0.224;203.729
A Million Dreams;['P!nk'];69;False;Solo;1;78;2018-10-24;273640;7;1;4;0.272;0.312;0.499;0.0;0.0901;-6.282;0.0397;0.191;148.173
New Patek;['Lil Uzi Vert'];74;True;Solo;1;78;2018-09-18;343099;8;0;4;0.0367;0.85;0.785;0.0;0.155;-4.963;0.345;0.718;145.063
Break Up in the End;['Cole Swindell'];52;False;Solo;1;77;2018-02-23;199436;1;1;4;0.456;0.51;0.386;0.0;0.252;-8.391;0.0307;0.266;86.36
Kamikaze;['Lil Mosey'];76;True;Solo;1;79;2018-10-19;139200;8;0;4;0.301;0.792;0.571;0.0;0.1;-7.539;0.094;0.556;99.999
no tears left to cry;['Ariana Grande'];83;False;Solo;1;79;2018-08-17;205920;9;0;4;0.04;0.699;0.713;3.11e-06;0.294;-5.507;0.0594;0.354;121.993
Astronauts;['Future', 'Juice WRLD'];62;True;Collaboration;2;79;2018-10-19;169920;1;1;4;0.0402;0.732;0.586;2.66e-06;0.121;-7.868;0.232;0.73;76.48
Vertigo;['Khalid'];67;False;Solo;1;79;2018-10-19;270413;4;0;4;0.552;0.487;0.458;0.0257;0.117;-7.761;0.0371;0.207;115.989
Make It Back;['Juice WRLD'];63;True;Solo;1;79;2018-10-19;102560;1;0;4;0.122;0.75;0.387;0.0;0.0993;-10.123;0.487;0.739;143.019
Kiss and Make Up;['Dua Lipa', 'BLACKPINK'];79;False;Collaboration;2;75;2018-10-19;189173;8;1;4;0.0658;0.678;0.729;0.0;0.303;-4.188;0.137;0.643;99.895
Africa;['Weezer'];65;False;Solo;1;78;2019-01-24;238627;8;1;4;0.205;0.534;0.784;0.00579;0.106;-3.59;0.0339;0.6;92.147
Meant To Be;['2017 Dynamo Hitz'];4;False;Solo;1;79;2017-11-08;163553;10;1;4;0.161;0.671;0.668;0.0;0.219;-7.086;0.0851;0.487;153.953
Simple;['Florida Georgia Line'];76;False;Solo;1;79;2019-02-15;185200;3;1;4;0.0791;0.362;0.882;0.0;0.15;-3.717;0.0973;0.864;199.811
Medicine;['Queen Naija'];70;False;Solo;1;79;2018-06-08;219136;8;0;4;0.24;0.741;0.37;0.0;0.118;-8.437;0.324;0.13;116.06
BIGGEST ALLEY OOP;['Quavo'];61;True;Solo;1;79;2018-10-12;180960;0;1;4;0.166;0.86;0.408;0.0;0.111;-5.389;0.189;0.0548;75.481
HUNCHO DREAMS;['Quavo'];52;True;Solo;1;79;2018-10-12;211963;2;1;4;0.0894;0.831;0.528;2.58e-05;0.396;-7.635;0.534;0.232;153.987
Sunrise, Sunburn, Sunset;['Luke Bryan'];68;False;Solo;1;79;2017-12-08;216093;9;1;4;0.185;0.472;0.884;0.0;0.178;-2.306;0.0584;0.718;159.96
If I'm Lyin', I'm Flyin';['Kodak Black'];63;True;Solo;1;78;2018-12-14;130929;11;0;4;0.0996;0.715;0.617;3.41e-06;0.186;-5.558;0.24;0.283;176.117
Is That Alright?;['Lady Gaga'];63;False;Solo;1;79;2018-10-05;191280;6;1;4;0.868;0.557;0.279;1.25e-05;0.0978;-7.757;0.0372;0.263;102.727
Dedicate;['Lil Wayne'];63;True;Solo;1;79;2018-09-28;189909;2;1;4;0.033;0.879;0.662;0.0;0.716;-6.162;0.309;0.723;117.975
Jumpsuit;['Twenty One Pilots'];73;False;Solo;1;78;2018-10-05;238560;11;0;4;0.00849;0.62;0.61;0.162;0.205;-8.329;0.0373;0.235;127.052
My Blood;['Twenty One Pilots'];74;False;Solo;1;78;2018-10-05;229120;1;1;4;0.0563;0.749;0.723;0.022;0.0977;-6.609;0.0432;0.674;108.999
The Way I Am;['Charlie Puth'];70;False;Solo;1;78;2018-05-11;186080;10;0;4;0.314;0.755;0.769;2.38e-06;0.0628;-5.658;0.186;0.642;114.966
Can't Be Broken;['Lil Wayne'];63;True;Solo;1;79;2018-09-28;193243;2;0;5;0.121;0.578;0.577;0.0;0.086;-5.997;0.202;0.154;99.288
Maybe It's Time;['Bradley Cooper'];64;False;Solo;1;79;2018-10-05;159293;7;1;4;0.798;0.699;0.282;1.23e-06;0.0981;-7.65;0.0374;0.359;79.776
Nico And The Niners;['Twenty One Pilots'];72;False;Solo;1;78;2018-10-05;225040;9;0;4;0.0699;0.728;0.602;7.01e-06;0.318;-7.748;0.185;0.328;140.081
Open Letter;['Lil Wayne'];57;True;Solo;1;79;2018-09-28;269287;9;0;4;0.0283;0.769;0.55;0.0;0.139;-6.299;0.359;0.36;97.01
Problems;['Lil Wayne'];55;True;Solo;1;79;2018-09-28;208504;2;1;4;0.0169;0.807;0.571;0.0;0.252;-6.937;0.312;0.0993;139.996
Hittas;['Lil Wayne'];55;True;Solo;1;79;2018-09-28;223617;2;1;4;0.276;0.788;0.765;0.0;0.216;-3.93;0.439;0.667;144.046
Open Safe;['Lil Wayne'];57;True;Solo;1;79;2018-09-28;223939;1;1;4;0.00705;0.929;0.598;0.0;0.0549;-5.373;0.156;0.501;96.012
Took His Time;['Lil Wayne'];56;True;Solo;1;79;2018-09-28;262400;5;0;4;0.144;0.752;0.703;0.0;0.325;-3.417;0.213;0.641;149.988
Mess;['Lil Wayne'];58;True;Solo;1;79;2018-09-28;212428;9;1;4;0.479;0.641;0.579;9.58e-05;0.214;-8.278;0.0895;0.421;145.994
Let It All Work Out;['Lil Wayne'];61;True;Solo;1;79;2018-09-28;316192;11;1;4;0.0216;0.552;0.562;0.0;0.302;-6.862;0.164;0.439;135.014
Used 2;['Lil Wayne'];57;True;Solo;1;79;2018-09-28;240199;5;1;4;0.337;0.678;0.666;0.0;0.115;-6.949;0.487;0.523;87.634
RAP DEVIL;['Machine Gun Kelly'];68;True;Solo;1;79;2018-09-08;286117;0;1;4;0.217;0.895;0.839;3e-06;0.239;-4.512;0.227;0.756;149.951
Demon;['Lil Wayne'];55;True;Solo;1;79;2018-09-28;214314;4;0;4;0.273;0.754;0.615;0.0;0.13;-5.346;0.171;0.345;140.04
Perfect Strangers;['Lil Wayne'];56;True;Solo;1;79;2018-09-28;249751;7;1;4;0.4;0.746;0.644;0.0;0.095;-2.605;0.232;0.542;146.178
Head Above Water;['Avril Lavigne'];73;False;Solo;1;77;2019-02-15;220850;5;1;4;0.0112;0.578;0.694;0.0;0.102;-5.351;0.0706;0.268;129.921
Perfect;['Ed Sheeran'];85;False;Solo;1;78;2017-03-03;263400;8;1;3;0.163;0.599;0.448;0.0;0.106;-6.312;0.0232;0.168;95.05
Nice For What;['Drake'];81;True;Solo;1;79;2018-06-29;210747;8;1;4;0.0891;0.586;0.909;0.000109;0.119;-6.474;0.0705;0.757;93.394
God's Plan;['Drake'];84;True;Solo;1;79;2018-06-29;198973;7;1;4;0.0332;0.754;0.449;8.29e-05;0.552;-9.211;0.109;0.357;77.169
Barbie Dreams;['Nicki Minaj'];67;True;Solo;1;79;2018-08-10;279867;8;0;4;0.313;0.855;0.787;0.0;0.194;-4.134;0.334;0.702;88.003
All Girls Are The Same;['Juice WRLD'];80;True;Solo;1;79;2018-12-10;165820;0;1;4;0.0769;0.671;0.529;0.000335;0.0856;-7.226;0.307;0.203;161.989
Fall;['Eminem'];72;True;Solo;1;79;2018-08-31;262494;1;1;4;0.227;0.83;0.546;0.0;0.112;-5.716;0.295;0.535;182.973
Life Changes;['Thomas Rhett'];68;False;Solo;1;79;2017-09-08;190227;7;1;4;0.105;0.687;0.842;0.0;0.0436;-4.382;0.058;0.778;87.968
Hooked;['Dylan Scott'];68;False;Solo;1;79;2017-08-04;149293;9;1;4;0.0362;0.597;0.721;0.0;0.0832;-6.422;0.0356;0.437;132.054
STARGAZING;['Travis Scott'];80;True;Solo;1;79;2018-08-03;270715;8;1;4;0.00947;0.487;0.789;4.05e-06;0.189;-3.69;0.044;0.0564;150.007
Lean Wit Me;['Juice WRLD'];78;True;Solo;1;79;2018-12-10;175755;1;1;4;0.0414;0.665;0.651;0.0;0.0896;-5.515;0.156;0.237;163.935
Self Care;['Mac Miller'];77;True;Solo;1;78;2018-08-03;345133;1;1;4;0.367;0.52;0.538;0.00187;0.119;-8.109;0.206;0.177;141.894
The Ringer;['Eminem'];74;True;Solo;1;79;2018-08-31;337941;1;1;4;0.0311;0.939;0.551;0.0;0.192;-9.126;0.291;0.42;118.552
Mercy;['Brett Young'];70;False;Solo;1;79;2017-02-10;217120;4;1;4;0.84;0.638;0.367;0.0;0.0999;-7.906;0.0266;0.219;71.957
Cry Pretty;['Carrie Underwood'];58;False;Solo;1;79;2018-09-14;247320;6;1;3;0.00517;0.374;0.742;0.0;0.11;-3.36;0.0432;0.21;139.953
Kamikaze;['Eminem'];71;True;Solo;1;79;2018-08-31;216029;2;1;4;0.112;0.78;0.808;0.0;0.329;-5.175;0.484;0.642;79.982
Mine;['Bazzi'];80;True;Solo;1;78;2018-04-12;131064;4;1;4;0.0161;0.71;0.789;2.77e-06;0.451;-3.874;0.0722;0.717;142.929
Hurt Feelings;['Mac Miller'];71;True;Solo;1;78;2018-08-03;245640;8;1;4;0.343;0.69;0.462;0.00218;0.113;-8.054;0.13;0.325;157.655
Greatest;['Eminem'];71;True;Solo;1;79;2018-08-31;226938;1;1;4;0.0441;0.809;0.737;0.0;0.341;-5.186;0.108;0.367;80.025
Come Back to Earth;['Mac Miller'];71;False;Solo;1;78;2018-08-03;161840;2;0;4;0.89;0.272;0.238;0.00925;0.275;-12.148;0.0349;0.119;83.507
Feels Like Summer;['Childish Gambino'];73;False;Solo;1;77;2018-07-11;297404;7;1;4;0.162;0.554;0.596;0.00482;0.0805;-8.214;0.13;0.255;165.728
I'm Upset;['Drake'];73;True;Solo;1;79;2018-06-29;214467;11;0;4;0.279;0.899;0.586;0.0;0.0836;-7.866;0.344;0.492;150.001
Narcos;['Migos'];73;True;Solo;1;79;2018-01-26;255379;7;0;4;0.0146;0.936;0.588;0.0;0.139;-6.948;0.136;0.238;124.987
Normal;['Eminem'];67;True;Solo;1;79;2018-08-31;222477;6;1;4;0.261;0.907;0.64;0.0;0.0785;-6.542;0.354;0.803;120.995
Stepping Stone;['Eminem'];67;True;Solo;1;79;2018-08-31;309638;7;1;4;0.0305;0.616;0.684;0.0;0.376;-6.032;0.311;0.312;179.503
Summertime Magic;['Childish Gambino'];73;False;Solo;1;77;2018-07-11;213600;0;1;4;0.0129;0.76;0.579;0.00351;0.106;-7.374;0.0569;0.125;100.01
FRIENDS;['Marshmello', 'Anne-Marie'];82;True;Collaboration;2;78;2018-02-09;202621;9;0;4;0.205;0.626;0.88;0.0;0.128;-2.384;0.0504;0.534;95.079
Never Be the Same;['Camila Cabello'];75;False;Solo;1;79;2018-01-12;226973;0;1;4;0.181;0.637;0.713;0.000637;0.137;-4.333;0.0747;0.243;129.923
Moonlight;['XXXTENTACION'];84;True;Solo;1;79;2018-03-16;135090;9;0;4;0.556;0.921;0.537;0.00404;0.102;-5.723;0.0804;0.711;128.009
Get Along;['Kenny Chesney'];56;False;Solo;1;77;2018-04-06;199627;7;1;4;0.0997;0.602;0.805;0.0;0.172;-6.079;0.0473;0.322;92.401
Unica;['Ozuna'];72;False;Solo;1;79;2018-08-24;218387;0;1;4;0.212;0.653;0.859;0.0;0.111;-3.048;0.0449;0.705;174.037
